Церемония	Актриса	Фильм(ы)	Роль
44-я	Ванесса Редгрейв	Мария — королева Шотландии	королева Шотландии Мария Стюарт
44-я	Джанет Сазман	Николай и Александра	императрица Александра Фёдоровна
45-я	Лайза Миннелли	Кабаре	Салли Боулз
45-я	Дайана Росс	Леди поёт блюз	Билли Холидей
45-я	Мэгги Смит	Путешествия с моей тётей	Аугуста Бертрам
45-я	Сисели Тайсон	Саундер	Ребекка Морган
45-я	Лив Ульман	Эмигранты	Кристина Нильссон
46-я	Гленда Джексон	С шиком	Вики Аллессио
46-я	Эллен Бёрстин	Изгоняющий дьявола	Крис Макнил
46-я	Марша Мейсон	Увольнение до полуночи	Мэгги Пол
46-я	Барбра Стрейзанд	Встреча двух сердец	Кэти Мороски
46-я	Джоан Вудворд	Летние желания, зимние мечты	Рита Уолден
47-я	Эллен Бёрстин	Алиса здесь больше не живёт	Алиса Хайатт
47-я	Дайан Кэрролл	Клодин	Клодин Прайс
47-я	Фэй Данауэй	Китайский квартал	Эвелин Кросс Малрей
47-я	Валери Перрин	Ленни	Хани Брюс
47-я	Джина Роулендс	Женщина под влиянием	Мэйбл Лонгетти
48-я	Луиза Флетчер	Пролетая над гнездом кукушки	медсестра Милдред Рэтчед
48-я	Изабель Аджани	История Адели Г.	Адель Гюго
48-я	Энн-Маргрет	Томми	Нора Уокер Хоббс
48-я	Гленда Джексон	Гедда	Гедда Габлер
48-я	Кэрол Кейн	Хестер-стрит	Гитл
49-я	Фэй Данауэй	Телесеть	Дайана Кристенсен
49-я	Мари-Кристин Барро	Кузен, кузина	Марта
49-я	Талия Шайр	Рокки	Эдриан Пеннино
49-я	Сисси Спейсек	Кэрри	Кэрри Уайт
49-я	Лив Ульман	Лицом к лицу	доктор Йенни Исакссон
50-я	Дайан Китон	Энни Холл	Энни Холл
50-я	Энн Бэнкрофт	Поворотный пункт	Эмма Джеклин
50-я	Джейн Фонда	Джулия	Лилиан Хеллман
50-я	Ширли Маклейн	Поворотный пункт	Диди Роджерс
50-я	Марша Мейсон	До свидания, дорогая	Пола Макфадден
51-я	Джейн Фонда	Возвращение домой	Салли Хайд
51-я	Ингрид Бергман	Осенняя соната	Шарлотта Андергаст
51-я	Эллен Бёрстин	В это же время, в следующем году	Дорис
51-я	Джилл Клейберг	Незамужняя женщина	Эрика
51-я	Джеральдин Пейдж	Интерьеры	Ева
52-я	Салли Филд	Норма Рэй	Норма Рэй Уэбстер
52-я	Джилл Клейберг	Начать сначала	Мэрилин Холмберг
52-я	Джейн Фонда	Китайский синдром	Кимберли Уэллс
52-я	Марша Мейсон	Глава вторая	Дженни Маклейн
52-я	Бетт Мидлер	Роза	Мэри Роуз Фостер
53-я	Сисси Спейсек	Дочь шахтёра	Лоретта Линн
53-я	Эллен Бёрстин	Воскрешение	Эдна Мэй Маккоули
53-я	Голди Хоун	Рядовой Бенджамин	рядовая Джуди Бенджамин
53-я	Мэри Тайлер Мур	Обыкновенные люди	Бэт Джарэтт
53-я	Джина Роулендс	Глория	Глория Свенсон
54-я	Кэтрин Хепбёрн	На золотом озере	Этель Тэйер
54-я	Дайан Китон	Красные	Луиза Брайант
